"id";"name";"abbreviation";"university"
1;"De Studerendes Råd ";"DJM";"Det Jyske Musikkonservatorium"
2;"Syddanske Studerende ";"SDS";"Syddansk Universitet"
3;"Studentersamfundet";"S'et";"Aalborg Universitet"
4;"Studenterrådet";"SRKU";"Københavns Universitet"
5;"De Studerendes Råd ";"DKDM";"Det Kgl. Danske Musikkonservatorium"
6;"Studenterrådet ";"SRRUC";"Roskilde Universitet"
7;"CBS Students";"CBSS";"Copenhagen Business School"
8;"Studenterrådet";"SDMK";"Syddansk Musikkonservatorium"
9;"Akademiets Studenterråd";"AS";"Det Kongelige Akademi"
10;"Polyteknisk Forening ";"PF";"Danmarks Tekniske Universitet"
11;"Elevrådet";"DFKE";"Det Fynske Kunstakademi"
12;"Elevrådet";"DJKE";"Det Jyske Kunstakademi"
13;"Elevrådet";"DDFE";"Den Danske Filmskole"
14;"De Studerendes Råd";"DDS";"Den Danske Scenekunstskole"
15;"Student Council";"SC";"IT-Universitetet"
16;"Studenterrådet";"SRAU";"Aarhus Universitet"
17;"De Studerendes Råd";"DKDK";"Det Kgl. Danske Kunstakademi"
18;"De Arkitektstuderendes Råd";"DAR";"Arkitektskolen i Aarhus"
19;"De Studerendes Råd";"RMC";"Rytmisk Musikkonservatorium"
20;"De Studerendes Råd";"DSK";"Designskolen Kolding"
